Date,Open,High,Low,Close,Volume,Symbol,Asset_Type,Data_Source,Download_Date,Adj_Close,Source,Transform_Date,Data_Start_Date,Data_End_Date,Record_Count,Data_Quality_Score,YFinance_Version,Exchange,Trading_Pair
2021-09-16,3545.21,3675.06,3483.69,3563.75,60260179.4367814,ETH,crypto,Gemini Exchange,2025-04-05,,,,,,,,,Gemini,ETHUSD
2021-09-15,3398.63,3621.96,3398.63,3545.21,22774454.42522804,ETH,crypto,Gemini Exchange,2025-04-05,,,,,,,,,Gemini,ETHUSD
2021-09-14,3291.39,3451.58,3274.96,3398.63,45667301.9821084,ETH,crypto,Gemini Exchange,2025-04-05,,,,,,,,,Gemini,ETHUSD
2021-09-13,3257.9,3385.53,3112.0,3291.39,97354856.3848172,ETH,crypto,Gemini Exchange,2025-04-05,,,,,,,,,Gemini,ETHUSD
2021-09-12,3327.79,3473.1,3253.46,3257.9,34843032.35674364,ETH,crypto,Gemini Exchange,2025-04-05,,,,,,,,,Gemini,ETHUSD
2021-09-11,3241.07,3349.81,3219.0,3327.79,44651151.10157975,ETH,crypto,Gemini Exchange,2025-04-05,,,,,,,,,Gemini,ETHUSD
2021-09-10,3465.73,3481.48,3147.17,3241.07,115098642.31049736,ETH,crypto,Gemini Exchange,2025-04-05,,,,,,,,,Gemini,ETHUSD
2021-09-09,3469.52,3568.65,3395.41,3465.73,75810222.04863499,ETH,crypto,Gemini Exchange,2025-04-05,,,,,,,,,Gemini,ETHUSD
2021-09-08,3432.88,3561.03,3427.98,3469.52,23662656.95709016,ETH,crypto,Gemini Exchange,2025-04-05,,,,,,,,,Gemini,ETHUSD
2021-09-07,3914.03,3936.66,3005.0,3432.88,197777704.3442079,ETH,crypto,Gemini Exchange,2025-04-05,,,,,,,,,Gemini,ETHUSD
2021-09-06,3905.5,3975.0,3869.33,3914.03,48683541.312155165,ETH,crypto,Gemini Exchange,2025-04-05,,,,,,,,,Gemini,ETHUSD
2021-09-05,3848.06,3984.7,3835.77,3905.5,46347854.222039275,ETH,crypto,Gemini Exchange,2025-04-05,,,,,,,,,Gemini,ETHUSD
2021-09-04,3920.51,3954.83,3835.01,3848.06,49187957.93353713,ETH,crypto,Gemini Exchange,2025-04-05,,,,,,,,,Gemini,ETHUSD
2021-09-03,3807.36,4030.0,3780.73,3920.51,85689869.59608732,ETH,crypto,Gemini Exchange,2025-04-05,,,,,,,,,Gemini,ETHUSD
2021-09-02,3766.97,3836.9,3711.71,3807.36,72198629.69509406,ETH,crypto,Gemini Exchange,2025-04-05,,,,,,,,,Gemini,ETHUSD
2021-09-01,3447.0,3849.14,3447.0,3766.97,39408962.87747698,ETH,crypto,Gemini Exchange,2025-04-05,,,,,,,,,Gemini,ETHUSD
2021-08-31,3239.06,3475.0,3215.61,3447.0,123963662.0211454,ETH,crypto,Gemini Exchange,2025-04-05,,,,,,,,,Gemini,ETHUSD
2021-08-30,3163.88,3350.0,3147.74,3239.06,96475434.16125238,ETH,crypto,Gemini Exchange,2025-04-05,,,,,,,,,Gemini,ETHUSD
2021-08-29,3182.9,3259.78,3136.23,3163.88,32139683.650638167,ETH,crypto,Gemini Exchange,2025-04-05,,,,,,,,,Gemini,ETHUSD
2021-08-28,3247.08,3287.11,3161.89,3182.9,47908631.905451454,ETH,crypto,Gemini Exchange,2025-04-05,,,,,,,,,Gemini,ETHUSD
2021-08-27,3093.95,3288.65,3077.76,3247.08,66042443.93077152,ETH,crypto,Gemini Exchange,2025-04-05,,,,,,,,,Gemini,ETHUSD
2021-08-26,3147.05,3169.07,3052.8,3093.95,64452125.41484271,ETH,crypto,Gemini Exchange,2025-04-05,,,,,,,,,Gemini,ETHUSD
2021-08-25,3176.42,3250.55,3140.54,3147.05,29114055.93995544,ETH,crypto,Gemini Exchange,2025-04-05,,,,,,,,,Gemini,ETHUSD
2021-08-24,3326.28,3359.72,3146.34,3176.42,80263233.92464992,ETH,crypto,Gemini Exchange,2025-04-05,,,,,,,,,Gemini,ETHUSD
2021-08-23,3343.53,3380.01,3280.09,3326.28,68197227.73200837,ETH,crypto,Gemini Exchange,2025-04-05,,,,,,,,,Gemini,ETHUSD
2021-08-22,3228.24,3361.34,3129.11,3343.53,61334359.80749119,ETH,crypto,Gemini Exchange,2025-04-05,,,,,,,,,Gemini,ETHUSD
2021-08-21,3278.28,3311.14,3200.0,3228.24,58078776.32392294,ETH,crypto,Gemini Exchange,2025-04-05,,,,,,,,,Gemini,ETHUSD
2021-08-20,3217.82,3301.22,3187.16,3278.28,76255678.6054658,ETH,crypto,Gemini Exchange,2025-04-05,,,,,,,,,Gemini,ETHUSD
2021-08-19,2967.28,3246.09,2958.92,3217.82,107592830.0579706,ETH,crypto,Gemini Exchange,2025-04-05,,,,,,,,,Gemini,ETHUSD
2021-08-18,3050.05,3125.99,2967.28,2967.28,62205319.99123166,ETH,crypto,Gemini Exchange,2025-04-05,,,,,,,,,Gemini,ETHUSD
2021-08-17,3194.09,3296.17,2952.16,3050.05,118522749.14344372,ETH,crypto,Gemini Exchange,2025-04-05,,,,,,,,,Gemini,ETHUSD
2021-08-16,3263.91,3314.04,3116.0,3194.09,105183263.95969003,ETH,crypto,Gemini Exchange,2025-04-05,,,,,,,,,Gemini,ETHUSD
2021-08-15,3248.9,3341.97,3114.0,3263.91,63521716.706109494,ETH,crypto,Gemini Exchange,2025-04-05,,,,,,,,,Gemini,ETHUSD
2021-08-14,3297.97,3332.99,3207.12,3248.9,32554847.558598213,ETH,crypto,Gemini Exchange,2025-04-05,,,,,,,,,Gemini,ETHUSD
2021-08-13,3118.23,3330.46,3095.35,3297.97,69046614.01308922,ETH,crypto,Gemini Exchange,2025-04-05,,,,,,,,,Gemini,ETHUSD
2021-08-12,3212.22,3221.21,2980.76,3118.23,90465285.2238414,ETH,crypto,Gemini Exchange,2025-04-05,,,,,,,,,Gemini,ETHUSD
2021-08-11,3159.84,3266.08,3150.0,3212.22,45318827.20985144,ETH,crypto,Gemini Exchange,2025-04-05,,,,,,,,,Gemini,ETHUSD
2021-08-10,3117.19,3235.34,3051.56,3159.84,74427687.94863525,ETH,crypto,Gemini Exchange,2025-04-05,,,,,,,,,Gemini,ETHUSD
2021-08-09,2951.5,3200.0,2894.46,3117.19,86478873.85416937,ETH,crypto,Gemini Exchange,2025-04-05,,,,,,,,,Gemini,ETHUSD
2021-08-08,3123.13,3188.33,2899.66,2951.5,82690944.10804972,ETH,crypto,Gemini Exchange,2025-04-05,,,,,,,,,Gemini,ETHUSD
2021-08-07,2936.8,3192.91,2930.9,3123.13,81529708.56810822,ETH,crypto,Gemini Exchange,2025-04-05,,,,,,,,,Gemini,ETHUSD
2021-08-06,2762.79,2949.99,2722.28,2936.8,73680950.49120258,ETH,crypto,Gemini Exchange,2025-04-05,,,,,,,,,Gemini,ETHUSD
2021-08-05,2712.12,2846.49,2528.63,2762.79,188755963.13020945,ETH,crypto,Gemini Exchange,2025-04-05,,,,,,,,,Gemini,ETHUSD
2021-08-04,2484.04,2771.66,2484.04,2712.12,24500259.16706391,ETH,crypto,Gemini Exchange,2025-04-05,,,,,,,,,Gemini,ETHUSD
2021-08-03,2532.0,2544.44,2443.71,2484.04,73241751.9706614,ETH,crypto,Gemini Exchange,2025-04-05,,,,,,,,,Gemini,ETHUSD
2021-08-02,2561.21,2668.7,2517.42,2532.0,76653203.76294193,ETH,crypto,Gemini Exchange,2025-04-05,,,,,,,,,Gemini,ETHUSD
2021-08-01,2617.36,2698.69,2507.34,2561.21,73364573.52052732,ETH,crypto,Gemini Exchange,2025-04-05,,,,,,,,,Gemini,ETHUSD
2021-07-31,2464.92,2621.5,2422.51,2617.36,26799817.809688896,ETH,crypto,Gemini Exchange,2025-04-05,,,,,,,,,Gemini,ETHUSD
2021-07-30,2423.57,2484.23,2318.33,2464.92,54689073.25278848,ETH,crypto,Gemini Exchange,2025-04-05,,,,,,,,,Gemini,ETHUSD
2021-07-29,2278.28,2450.35,2272.11,2423.57,35881578.77157186,ETH,crypto,Gemini Exchange,2025-04-05,,,,,,,,,Gemini,ETHUSD
2021-07-28,2289.39,2329.19,2264.87,2278.28,10704862.705782045,ETH,crypto,Gemini Exchange,2025-04-05,,,,,,,,,Gemini,ETHUSD
2021-07-27,2172.86,2336.26,2165.79,2289.39,68858113.27257292,ETH,crypto,Gemini Exchange,2025-04-05,,,,,,,,,Gemini,ETHUSD
2021-07-26,2317.31,2435.0,2151.9,2172.86,83769028.49216098,ETH,crypto,Gemini Exchange,2025-04-05,,,,,,,,,Gemini,ETHUSD
